iter	Passed	Remaining
0	127	127520
1	297	148410
2	429	142882
3	544	135574
4	656	130642
5	789	130834
6	919	130482
7	1042	129275
8	1173	129224
9	1300	128710
10	1449	130278
11	1559	128386
12	1679	127492
13	1805	127182
14	1926	126476
15	2057	126530
16	2176	125857
17	2311	126122
18	2452	126627
19	2575	126178
20	2688	125348
21	2821	125441
22	2967	126061
23	3079	125217
24	3187	124314
25	3334	124924
26	3464	124861
27	3603	125081
28	3737	125130
29	3855	124645
30	3965	123951
31	4098	123977
32	4220	123665
33	4336	123202
34	4458	122934
35	4582	122709
36	4737	123311
37	4843	122612
38	5141	126689
39	5510	132253
40	5815	136020
41	6093	138987
42	6383	142075
43	6645	144396
44	7006	148701
45	7281	151010
46	7559	153283
47	7694	152610
48	7815	151692
49	7942	150910
50	8060	149993
51	8196	149424
52	8327	148786
53	8444	147926
54	8563	147137
55	8710	146831
56	8823	145982
57	8941	145218
58	9045	144266
59	9166	143603
60	9300	143160
61	9426	142616
62	9543	141935
63	9654	141203
64	9776	140633
65	9912	140279
66	10035	139746
67	10161	139272
68	10287	138810
69	10417	138406
70	10533	137823
71	10647	137228
72	10755	136583
73	10884	136205
74	11015	135853
75	11129	135312
76	11237	134701
77	11362	134315
78	11528	134398
79	11645	133922
80	11770	133540
81	11901	133233
82	12025	132860
83	12157	132575
84	12290	132300
85	12393	131717
86	12511	131298
87	12660	131210
88	12773	130749
89	12895	130389
90	13015	130013
91	13137	129661
92	13261	129338
93	13404	129197
94	13546	129045
95	13660	128634
96	13797	128448
97	13928	128196
98	14026	127657
99	14150	127357
100	14266	126982
101	14388	126671
102	14503	126303
103	14615	125917
104	14732	125580
105	14893	125612
106	15036	125489
107	15153	125154
108	15269	124817
109	15376	124410
110	15481	123988
111	15613	123794
112	15729	123471
113	15852	123204
114	15981	122989
115	16105	122731
116	16241	122574
117	16350	122209
118	16463	121885
119	16590	121661
120	16720	121463
121	16842	121207
122	16957	120910
123	17073	120613
124	17189	120326
125	17310	120072
126	17473	120114
127	17609	119967
128	17758	119903
129	17895	119764
130	18075	119906
131	18262	120087
132	18414	120043
133	18529	119751
134	18656	119538
135	18779	119306
136	18913	119138
137	19064	119084
138	19208	118980
139	19412	119251
140	19573	119243
141	19702	119047
142	19805	118692
143	19932	118489
144	20052	118237
145	20170	117981
146	20287	117724
147	20400	117441
148	20543	117329
149	20656	117053
150	20788	116885
151	20910	116658
152	21032	116433
153	21171	116307
154	21280	116013
155	21395	115753
156	21513	115516
157	21679	115530
158	21789	115250
159	21914	115051
160	22034	114827
161	22147	114565
162	22282	114417
163	22390	114138
164	22520	113967
165	22668	113890
166	22790	113680
167	22909	113454
168	23025	113219
169	23146	113009
170	23263	112780
171	23374	112523
172	23502	112350
173	23611	112088
174	23730	111872
175	23864	111727
176	23976	111484
177	24097	111282
178	24210	111044
179	24323	110808
180	24444	110608
181	24556	110371
182	24673	110154
183	24803	109996
184	24941	109878
185	25060	109674
186	25173	109443
187	25286	109216
188	25407	109022
189	25518	108789
190	25633	108574
191	25745	108346
192	25855	108109
193	25991	107984
194	26105	107769
195	26216	107541
196	26329	107323
197	26442	107107
198	26562	106915
199	26704	106816
200	26816	106599
201	26949	106461
202	27074	106298
203	27210	106172
204	27316	105936
205	27422	105696
206	27548	105535
207	27663	105333
208	27774	105119
209	27881	104888
210	28002	104709
211	28120	104524
212	28257	104407
213	28376	104224
214	28479	103982
215	28589	103770
216	28705	103578
217	28816	103370
218	28934	103186
219	29039	102959
220	29152	102758
221	29269	102576
222	29403	102450
223	29526	102286
224	29633	102070
225	29753	101897
226	29872	101723
227	29986	101531
228	30100	101343
229	30221	101176
230	30370	101104
231	30499	100964
232	30596	100720
233	30706	100518
234	30826	100351
235	30942	100169
236	31062	100002
237	31169	99794
238	31296	99652
239	31415	99481
240	31548	99357
241	31670	99200
242	31771	98976
243	31874	98759
244	32004	98626
245	32137	98501
246	32252	98324
247	32377	98177
248	32505	98039
249	32685	98056
250	32817	97929
251	32942	97781
252	33051	97587
253	33192	97487
254	33311	97321
255	33436	97173
256	33564	97035
257	33727	96998
258	33854	96859
259	33981	96717
260	34108	96575
261	34234	96430
262	34357	96280
263	34473	96107
264	34601	95970
265	34742	95868
266	34879	95755
267	35009	95622
268	35134	95476
269	35258	95327
270	35381	95176
271	35501	95017
272	35629	94881
273	35749	94723
274	35884	94604
275	36019	94486
276	36143	94337
277	36282	94229
278	36407	94085
279	36529	93933
280	36649	93776
281	36782	93652
282	36905	93503
283	37059	93430
284	37183	93285
285	37304	93132
286	37427	92982
287	37565	92869
288	37688	92720
289	37819	92592
290	37951	92466
291	38083	92340
292	38210	92200
293	38331	92048
294	38441	91869
295	38574	91743
296	38708	91622
297	38847	91513
298	38971	91369
299	39100	91234
300	39257	91165
301	39386	91031
302	39513	90893
303	39636	90747
304	39768	90619
305	39895	90481
306	40005	90304
307	40119	90137
308	40288	90095
309	40430	89991
310	40551	89839
311	40662	89665
312	40789	89529
313	40920	89399
314	41027	89219
315	41138	89047
316	41258	88894
317	41386	88758
318	41508	88612
319	41630	88464
320	41757	88327
321	41939	88308
322	42059	88155
323	42210	88069
324	42314	87882
325	42419	87701
326	42570	87614
327	42692	87467
328	42801	87293
329	42938	87178
330	43073	87057
331	43187	86894
332	43293	86716
333	43399	86539
334	43524	86398
335	43676	86313
336	43786	86144
337	43905	85992
338	44032	85856
339	44195	85790
340	44302	85616
341	44409	85443
342	44538	85310
343	44656	85158
344	44797	85050
345	44918	84903
346	45027	84734
347	45139	84572
348	45271	84446
349	45392	84299
350	45498	84127
351	45623	83989
352	45734	83825
353	45888	83740
354	45998	83575
355	46119	83430
356	46246	83295
357	46358	83135
358	46480	82991
359	46600	82845
360	46716	82691
361	46827	82530
362	46965	82416
363	47090	82278
364	47223	82155
365	47380	82074
366	47545	82005
367	47739	81987
368	47891	81896
369	48131	81954
370	48258	81817
371	48389	81689
372	48511	81546
373	48652	81434
374	48769	81283
375	48903	81158
376	49034	81029
377	49173	80914
378	49312	80799
379	49454	80688
380	49579	80549
381	49698	80402
382	49819	80257
383	49941	80114
384	50054	79957
385	50180	79820
386	50310	79690
387	50443	79565
388	50555	79406
389	50707	79311
390	50836	79180
391	50959	79039
392	51090	78910
393	51218	78777
394	51332	78623
395	51478	78517
396	51591	78362
397	51712	78217
398	51831	78071
399	51947	77921
400	52065	77774
401	52189	77635
402	52309	77490
403	52436	77357
404	52568	77230
405	52700	77103
406	52808	76942
407	52933	76805
408	53060	76672
409	53190	76542
410	53310	76398
411	53452	76286
412	53571	76141
413	53705	76018
414	53834	75887
415	53964	75758
416	54087	75619
417	54212	75482
418	54334	75342
419	54467	75216
420	54601	75093
421	54792	75047
422	54914	74906
423	55043	74775
424	55159	74627
425	55283	74489
426	55416	74363
427	55554	74246
428	55680	74111
429	55819	73992
430	55957	73873
431	56095	73754
432	56244	73651
433	56385	73534
434	56504	73391
435	56631	73256
436	56751	73114
437	56906	73016
438	57027	72876
439	57121	72700
440	57273	72598
441	57402	72467
442	57523	72325
443	57655	72199
444	57773	72054
445	57901	71922
446	58031	71793
447	58160	71661
448	58270	71508
449	58395	71372
450	58524	71242
451	58648	71104
452	58774	70970
453	58907	70844
454	59032	70709
455	59184	70605
456	59296	70455
457	59422	70321
458	59536	70172
459	59655	70030
460	59791	69907
461	59914	69771
462	60042	69638
463	60179	69517
464	60304	69382
465	60421	69238
466	60534	69089
467	60656	68951
468	60752	68783
469	60857	68626
470	60956	68463
471	61059	68304
472	61176	68160
473	61308	68034
474	61423	67889
475	61525	67729
476	61629	67573
477	61737	67420
478	61848	67271
479	61966	67130
480	62088	66993
481	62205	66851
482	62325	66712
483	62471	66602
484	62584	66456
485	62706	66319
486	62818	66172
487	62911	66005
488	63033	65869
489	63150	65728
490	63262	65581
491	63365	65426
492	63499	65302
493	63632	65177
494	63755	65043
495	63873	64903
496	64003	64776
497	64140	64656
498	64457	64715
499	64780	64780
500	65011	64752
501	65296	64775
502	65429	64649
503	65555	64514
504	65667	64367
505	65790	64230
506	65901	64081
507	66034	63955
508	66154	63815
509	66275	63676
510	66393	63535
511	66522	63404
512	66641	63264
513	66778	63141
514	66895	62998
515	67040	62882
516	67164	62747
517	67282	62606
518	67403	62468
519	67518	62324
520	67633	62181
521	67757	62045
522	67868	61898
523	67970	61744
524	68089	61604
525	68231	61486
526	68349	61346
527	68469	61207
528	68590	61070
529	68706	60928
530	68824	60788
531	68939	60646
532	69058	60507
533	69180	60370
534	69309	60240
535	69425	60099
536	69543	59960
537	69642	59804
538	69772	59675
539	69884	59530
540	69997	59387
541	70103	59238
542	70231	59108
543	70368	58985
544	70507	58864
545	70629	58728
546	70743	58586
547	70858	58445
548	70987	58316
549	71108	58179
550	71219	58035
551	71336	57896
552	71457	57760
553	71598	57640
554	71708	57496
555	71817	57350
556	71922	57202
557	72027	57054
558	72158	56926
559	72283	56794
560	72390	56647
561	72495	56500
562	72624	56371
563	72751	56240
564	72862	56097
565	72968	55951
566	73101	55825
567	73217	55686
568	73334	55548
569	73434	55397
570	73548	55258
571	73670	55123
572	73798	54994
573	73932	54869
574	74054	54736
575	74180	54604
576	74292	54464
577	74405	54323
578	74522	54186
579	74636	54047
580	74741	53901
581	74881	53781
582	74999	53644
583	75090	53488
584	75214	53357
585	75329	53219
586	75441	53078
587	75564	52946
588	75684	52812
589	75811	52682
590	75947	52558
591	76090	52440
592	76208	52305
593	76332	52173
594	76445	52034
595	76560	51896
596	76672	51757
597	76794	51624
598	76909	51487
599	77053	51369
600	77166	51230
601	77286	51096
602	77398	50956
603	77525	50828
604	77644	50693
605	77766	50561
606	77885	50426
607	78003	50291
608	78122	50157
609	78256	50032
610	78366	49892
611	78495	49764
612	78607	49626
613	78715	49485
614	78831	49349
615	78943	49211
616	79065	49079
617	79190	48949
618	79320	48822
619	79443	48691
620	79561	48556
621	79666	48414
622	79791	48284
623	79907	48149
624	80023	48013
625	80143	47881
626	80264	47749
627	80402	47626
628	80507	47485
629	80618	47347
630	80745	47219
631	80866	47086
632	80988	46955
633	81106	46821
634	81228	46690
635	81361	46565
636	81496	46441
637	81618	46310
638	81728	46172
639	81837	46033
640	81952	45898
641	82068	45763
642	82188	45631
643	82299	45494
644	82421	45363
645	82572	45248
646	82682	45110
647	82796	44975
648	82915	44843
649	83037	44712
650	83152	44578
651	83286	44453
652	83412	44325
653	83577	44216
654	83756	44116
655	83921	44007
656	84050	43880
657	84160	43743
658	84274	43607
659	84394	43476
660	84503	43338
661	84616	43202
662	84727	43066
663	84878	42950
664	84996	42817
665	85119	42687
666	85246	42559
667	85375	42432
668	85487	42296
669	85596	42159
670	85709	42024
671	85824	41890
672	85972	41772
673	86122	41655
674	86230	41518
675	86347	41385
676	86460	41250
677	86579	41119
678	86699	40987
679	86810	40852
680	86934	40722
681	87090	40608
682	87202	40473
683	87309	40335
684	87432	40206
685	87553	40075
686	87671	39943
687	87798	39815
688	87918	39684
689	88035	39552
690	88167	39426
691	88289	39296
692	88391	39157
693	88502	39022
694	88631	38895
695	88734	38757
696	88849	38624
697	88979	38498
698	89090	38363
699	89232	38242
700	89353	38112
701	89468	37979
702	89582	37846
703	89693	37712
704	89818	37583
705	89940	37454
706	90055	37321
707	90171	37189
708	90306	37065
709	90448	36943
710	90561	36810
711	90677	36678
712	90800	36549
713	90923	36420
714	91035	36287
715	91146	36153
716	91271	36024
717	91395	35896
718	91531	35772
719	91663	35647
720	91770	35511
721	91886	35379
722	92009	35251
723	92122	35118
724	92240	34987
725	92348	34853
726	92470	34724
727	92623	34606
728	92728	34471
729	92857	34344
730	92977	34214
731	93090	34082
732	93206	33950
733	93332	33823
734	93446	33691
735	93564	33561
736	93710	33440
737	93822	33308
738	93942	33178
739	94059	33047
740	94174	32916
741	94292	32786
742	94410	32656
743	94525	32524
744	94640	32393
745	94778	32270
746	94891	32138
747	95007	32007
748	95128	31878
749	95249	31749
750	95357	31616
751	95474	31486
752	95598	31358
753	95706	31225
754	95832	31097
755	95977	30976
756	96085	30843
757	96210	30716
758	96333	30588
759	96449	30457
760	96563	30326
761	96671	30194
762	96796	30066
763	96922	29939
764	97048	29812
765	97161	29681
766	97278	29551
767	97396	29421
768	97517	29293
769	97623	29160
770	97750	29033
771	97860	28901
772	97979	28772
773	98130	28653
774	98246	28523
775	98362	28393
776	98482	28264
777	98597	28134
778	98720	28006
779	98842	27878
780	98957	27748
781	99062	27615
782	99204	27493
783	99336	27368
784	99455	27239
785	99564	27108
786	99681	26978
787	99802	26850
788	99916	26720
789	100024	26588
790	100154	26462
791	100302	26342
792	100410	26210
793	100509	26076
794	100634	25949
795	100754	25821
796	100863	25690
797	100988	25563
798	101104	25434
799	101212	25303
800	101349	25179
801	101490	25056
802	101597	24924
803	101700	24792
804	101838	24668
805	101970	24543
806	102085	24414
807	102196	24284
808	102319	24156
809	102440	24029
810	102577	23905
811	102697	23777
812	102824	23650
813	102947	23523
814	103057	23393
815	103166	23262
816	103293	23136
817	103402	23006
818	103528	22879
819	103669	22756
820	103793	22629
821	103903	22499
822	104023	22371
823	104134	22242
824	104254	22114
825	104360	21983
826	104496	21859
827	104618	21732
828	104764	21610
829	104872	21479
830	104989	21351
831	105143	21230
832	105257	21102
833	105389	20976
834	105520	20851
835	105660	20727
836	105824	20608
837	105941	20480
838	106052	20351
839	106171	20223
